impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,location_for_map,Memo
K17-101305,A525186,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A525186,Cat & Kaboodle,Loki,Cat,12 YEARS 10 MONTHS,Neutered Male,Domestic Shorthair,Brn Tabby / White,07/30/2017 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A525186,Image Copyright HLP Inc. 2018,,"Received on: 2017-07-30<p></p> Description: Brn Tabby / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 12 YEARS 10 MONTHS<p></p> Current Location: Cat &amp; Kaboodle<p></p>Hi! My name is Loki and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on April 30, 2017 because they were moving. I lived in a home with a family that had kids but due to my history of using my mouth when I am uncomfortable, my caregivers are recommending that I go to an adult only home.<p></p><p></p>I prefer the &quot;hands-off&quot; approach, meaning that I will jump on your lap and interact, but it's all on my terms. I tend to get feisty if I get too much attention....typical catitude! I am very food motivated and love snacks and toys.  If you want a cool cat, come adopt me!<p></p><p></p>My personality color is RED. I am a spirited cat with a fun-loving personality! I may be sensitive to handling, so I would do best in a home with a cat savvy family who knows when to give me some space.<p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)     This cat has a history of inflammatory bowel disease (IBD).  He is currently being treated with oral steroids.  This condition will require long term management, which could include medications and prescription diets.  We recommend you follow up with your regular veterinarian for the best treatment plan.  An information handout is also provided.<p></p><p></p>2)   This cat has a history of struvite crystals in the urine and urinary tract infections.  He is currently being managed with a prescription diet (Hill's C/D).  This condition will most likely need longterm manament and treatment.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p><p></p> Adoption Fee: $30.00<p></p>"
K18-106788,A552257,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552257,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,2 YEARS,Male,Domestic Shorthair,Gray Tabby / White,02/21/2018 12:00:00 AM,Received on,19400 SE 267TH ST,COVINGTON,WA,98042,COVINGTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552257,Image Copyright HLP Inc. 2018,"19400 SE 267TH ST
COVINGTON, WA 98042
","Received on: 2018-02-21<p></p> Found Near: 19400 SE 267TH ST, COVINGTON WA 98042<p></p> Description: Gray Tabby / White Male Domestic Shorthair Cat<p></p> Age: 2 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106772,A552234,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552234,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Velvet,Rabbit Sh,NO AGE,Neutered Male,Rabbit Sh,Brown / Black,02/21/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552234,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-21<p></p> Description: Brown / Black<p></p>  Neutered Male Rabbit Sh Rabbit Sh<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Velvet and I am available for adoption.<p></p><p></p>I was brought in by an Animal Control Officer on 2/21/18.<p></p><p></p>I am a friendly rabbit looking for a new home. Adopt me today!<p></p> Adoption Fee: $20.00<p></p>"
K18-106811,A552303,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552303,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Taco,Dog,1 YEAR,Male,Pit Bull / Mix,Black,02/22/2018 12:00:00 AM,Received on,6300 S 212TH ST,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552303,Image Copyright HLP Inc. 2018,"6300 S 212TH ST
KENT, WA 98032
","Received on: 2018-02-22<p></p> Found Near: 6300 S 212TH ST, KENT WA 98032<p></p> Description: Black Male Pit Bull / Mix Dog<p></p> Age: 1 YEAR<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106707,A552071,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Female,Duck,Brown,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Brown Female Duck Bird<p></p> Age: NO AGE<p></p>"
K18-106902,A552904,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552904,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Bird,NO AGE,Unaltered,Duck,Brown / White,03/01/2018 12:00:00 AM,Received on,2000 222ND AVE NE,SAMMAMISH,WA,98074,SAMMAMISH,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552904,Image Copyright HLP Inc. 2018,"2000 222ND AVE NE
SAMMAMISH, WA 98074
","Received on: 2018-03-01<p></p> Found Near: 2000 222ND AVE NE, SAMMAMISH WA 98074<p></p> Description: Brown / White Unaltered Duck Bird<p></p> Age: NO AGE<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106709,A552073,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Female,Duck,Brown,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Brown Female Duck Bird<p></p> Age: NO AGE<p></p>"
K18-106604,A551846,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,10 YEARS,Neutered Male,Terrier / Mix,White / Tan,02/13/2018 12:00:00 AM,Received on,21600 64TH AVE S,KENT,WA,98032,KENT,,,,Image Copyright HLP Inc. 2018,"21600 64TH AVE S
KENT, WA 98032
","Received on: 2018-02-13<p></p> Found Near: 21600 64TH AVE S, KENT WA 98032<p></p> Description: White / Tan Neutered Male Terrier / Mix Dog<p></p> Age: 10 YEARS<p></p>"
K18-106852,A370696,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A370696,"Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033",Skippy,Dog,11 YEARS,Neutered Male,Chihuahua - Smooth Coated,White,02/26/2018 12:00:00 AM,Received on,12040 NE 85TH ST,KIRKLAND,WA,98033,KIRKLAND,47.680519,-122.179195,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A370696,Image Copyright HLP Inc. 2018,"12040 NE 85TH ST
KIRKLAND, WA 98033
(47.680519, -122.179195)","Received on: 2018-02-26<p></p> Description: White<p></p>  Neutered Male Chihuahua - Smooth Coated Dog<p></p> Age: 11 YEARS<p></p> Current Location: Kirkland Petco 12040 NE 85TH ST KIRKLAND, WA 98033<p></p>Hi! My name is Skippy and I am available for adoption.<p></p><p></p>I was brought in by my previous owner on 2/26/2018 because my owners were moving to a retirement home. I lived in a home with older adults . My previous owner described me as  outgoing, loving, gentle, and I like affection. I do have some seperation anxiety. <p></p><p></p>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home<p></p><p></p> I am a very smart dog! I <p></p><p></p> I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers have noticed that I seem to do well with other small dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>I would do best in a calm, quiet home.<p></p><p></p> I would do best in a home with adults.<p></p> Adoption Fee: $200.00<p></p>"
K18-106575,A539258,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A539258,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Callie,Cat,10 YEARS 5 MONTHS,Spayed Female,Domestic Shorthair,Gray,02/11/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A539258,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-11<p></p> Description: Gray<p></p>  Spayed Female Domestic Shorthair Cat<p></p> Age: 10 YEARS 5 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Callie and I am available for adoption.<p></p><p></p>I was brought in as a transfer from Tacoma Humane Society on September 20, 2017.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p><p></p>I am currently living in a room with 3 other cats. We all like to hide, but I do come out for snuggles with the right people. Can you please come to meet me to see if we are a match?<p></p> Adoption Fee: $30.00<p></p>"
K18-106873,A552707,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552707,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Org Tabby,02/27/2018 12:00:00 AM,Received on,10200 W MATLOCK BRADY RD,ELMA,WA,98541,OTHER,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552707,Image Copyright HLP Inc. 2018,"10200 W MATLOCK BRADY RD
ELMA, WA 98541
","Received on: 2018-02-27<p></p> Found Near: 10200 W MATLOCK BRADY RD, ELMA WA 98541<p></p> Description: Org Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106820,A552341,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552341,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Edmonds,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,02/23/2018 12:00:00 AM,Received on,12500 SE 226TH ST,KENT,WA,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552341,Image Copyright HLP Inc. 2018,"12500 SE 226TH ST
KENT, WA 98031
","Received on: 2018-02-23<p></p> Found Near: 12500 SE 226TH ST, KENT WA 98031<p></p> Description: Brn Tabby / White Neutered Male Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p>"
K16-094395,A509871,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Gertie,Cat,11 YEARS 4 MONTHS,Spayed Female,Domestic Longhair,Black,10/16/2016 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,KENT,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A509871,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2016-10-16<p></p> Description: Black Spayed Female Domestic Longhair Cat<p></p> Age: 11 YEARS 4 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>This is my friend Gertie. She is an 11-year-old adoptable cat currently living in a foster home. Unlike most fosters she's not in care because of her age or her health, but because of her attitude. When she first came to the shelter she was hissy and snarly and very difficult to manage. Ordinarily a cat that unfriendly to humans would be put up for adoption as a barn cat, but Gertie is front declawed and would never be able to defend herself outdoors. Her only hope was to get away from the stress of the shelter environment to see if some loving care could bring her back to the light side.<p></p><p></p>After months in foster care Gertie is a changed cat. Granted, she's still something of a curmudgeon and has definite opinions about how things ought to be, but she enjoys petting and brushing, and has a rumbling purr that she's happy to share. She is more than ready to go to her forever home, ideally where she can rule over her own private space. Gertie needs an adopter who is willing to learn her signals and respect her limits, and who appreciates that winning the heart of a &quot;difficult&quot; animal is well worth the patience it will require. Please contact Melodye Johnson - melodyej63@msn.com or (253)740-0269 (ok to text)<p></p>Adoption Fee: $30.00<p></p>"
K18-106538,A551667,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A551667,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Anubis,Cat,5 YEARS,Neutered Male,Domestic Shorthair,Gray Tabby,02/09/2018 12:00:00 AM,Received on,21400 SE 232ND ST,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551667,Image Copyright HLP Inc. 2018,"21400 SE 232ND ST
MAPLE VALLEY, WA 98038
","Received on: 2018-02-09<p></p> Found Near: 21400 SE 232ND ST, MAPLE VALLEY WA 98038<p></p> Description: Gray Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 5 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K17-105322,A547913,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A547913,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Flower,Dog,4 YEARS 1 MONTH,Spayed Female,Pit Bull,Black,12/04/2017 12:00:00 AM,Received on,15200 32ND AVE S,SEATAC,WA,98188,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A547913,Image Copyright HLP Inc. 2018,"15200 32ND AVE S
SEATAC, WA 98188
","Received on: 2017-12-04<p></p> Found Near: 15200 32ND AVE S, SEATAC WA 98188<p></p> Description: Black Spayed Female Pit Bull Dog<p></p> Age: 4 YEARS 1 MONTH<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106430,A551301,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1828139,LOST,Max,Cat,,Male,Domestic Shorthair,Unknown,01/25/2018 12:00:00 AM,Date Lost,145TH. & EVANSTON AVE. NORTH,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1828139,Image Copyright HLP Inc. 2018,"145TH. &amp; EVANSTON AVE. NORTH
",
K18-106583,A551781,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,NO AGE,Male,Chihuahua - Smooth Coated,Tricolor,02/12/2018 12:00:00 AM,Received on,12600 NORTHUP WAY,BELLEVUE,WA,98005,BELLEVUE,,,,Image Copyright HLP Inc. 2018,"12600 NORTHUP WAY
BELLEVUE, WA 98005
","Received on: 2018-02-12<p></p> Found Near: 12600 NORTHUP WAY, BELLEVUE WA 98005<p></p> Description: Tricolor Male Chihuahua - Smooth Coated Dog<p></p> Age: NO AGE<p></p>"
K18-106705,A552068,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Male,Duck,Green / Brown,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Green / Brown Male Duck Bird<p></p> Age: NO AGE<p></p>"
K18-106410,A072853,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A072853,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Seymour,Cat,6 YEARS 6 MONTHS,Neutered Male,Domestic Mediumhair,Black,02/03/2018 12:00:00 AM,Received on,20200 DES MOINES MEMORIAL DR S,SEATAC,WA,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A072853,Image Copyright HLP Inc. 2018,"20200 DES MOINES MEMORIAL DR S
SEATAC, WA 98198
","Received on: 2018-02-03<p></p> Found Near: 20200 DES MOINES MEMORIAL DR S, SEATAC WA 98198<p></p> Description: Black Neutered Male Domestic Mediumhair Cat<p></p> Age: 6 YEARS 6 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106704,A552067,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Bird,NO AGE,Male,Duck,Green / Brown,02/17/2018 12:00:00 AM,Received on,15100 65TH AVE S,TUKWILA,WA,98188,TUKWILA,,,,Image Copyright HLP Inc. 2018,"15100 65TH AVE S
TUKWILA, WA 98188
","Received on: 2018-02-17<p></p> Found Near: 15100 65TH AVE S, TUKWILA WA 98188<p></p> Description: Green / Brown Male Duck Bird<p></p> Age: NO AGE<p></p>"
K18-106637,A551931,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=1831664,LOST,Mephi,Cat,,Male,Domestic Shorthair,Unknown,02/10/2018 12:00:00 AM,Date Lost,32ND AVE NW & NW 65TH ST.,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=1831664,Image Copyright HLP Inc. 2018,"32ND AVE NW &amp; NW 65TH ST.
",
K18-106820,A552341,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A552341,"Reber Ranch 28606 132ND AVE SE KENT, WA 98042",Edmonds,Cat,4 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby / White,02/23/2018 12:00:00 AM,Received on,28606 132ND AVE SE,KENT,WA,98042,KENT,47.344857,-122.164359,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552341,Image Copyright HLP Inc. 2018,"28606 132ND AVE SE
KENT, WA 98042
(47.344857, -122.164359)","Received on: 2018-02-23<p></p> Description: Brn Tabby / White<p></p>  Neutered Male Domestic Shorthair Cat<p></p> Age: 4 YEARS<p></p> Current Location: Reber Ranch 28606 132ND AVE SE KENT, WA 98042<p></p>Hi! My name is EDMONDS and I am available for adoption. I was brought in by a good samaritan on 2/23.<p></p><p></p>I am a bit shy at first, but I love to be petted and warm up quickly. I'd love to come home and cuddle with you! Because of my shy nature, I would do best in a calm, quiet home.<p></p><p></p>My personality color is BLUE. I am a gentle and loving cat who likes to take things slow. I may get nervous in new situations, so I am looking for a family who understands that I might need some time to warm up. Once I get to know you, I will be a very devoted friend!<p></p> Adoption Fee: $30.00<p></p>"
K18-106780,A552248,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Dead Dog,12 WEEKS,Unaltered,Terrier / Mix,Tan / White,02/21/2018 12:00:00 AM,Received on,19700 SE WAX RD,MAPLE VALLEY,WA,98038,KING COUNTY,0,0,,Image Copyright HLP Inc. 2018,"19700 SE WAX RD
MAPLE VALLEY, WA 98038
(0, 0)","Received on: 2018-02-21<p></p> Found Near: 19700 SE WAX RD, MAPLE VALLEY WA 98038<p></p> Description: Tan / White Unaltered Terrier / Mix Dog<p></p> Age: 12 WEEKS<p></p>"
K18-106926,A552966,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552966,Off Site Vet,,Cat,10 MONTHS,Female,Domestic Shorthair,Brn Tabby / White,03/02/2018 12:00:00 AM,Received on,2800 S 135TH ST,SEATAC,WA,98168,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552966,Image Copyright HLP Inc. 2018,"2800 S 135TH ST
SEATAC, WA 98168
","Received on: 2018-03-02<p></p> Found Near: 2800 S 135TH ST, SEATAC WA 98168<p></p> Description: Brn Tabby / White Female Domestic Shorthair Cat<p></p> Age: 10 MONTHS<p></p> Current Location: Off Site Vet<p></p>"
K18-106808,A543199,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A543199,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Fiona,Dog,5 YEARS 3 MONTHS,Spayed Female,Pointer,White / Black,02/22/2018 12:00:00 AM,Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A543199,Image Copyright HLP Inc. 2018,,"Received on: 2018-02-22<p></p> Description: White / Black<p></p>  Spayed Female Pointer Dog<p></p> Age: 5 YEARS 3 MONTHS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>Hi! My name is Fiona and I am available for adoption.<p></p><p></p>I was brought in by an Animal Control Officer on 10/20/17.<p></p><p></p>My personality color is GREEN. I am an adaptable dog who loves to go with the flow! I am outgoing and carefree, and I just can't wait to find my forever home!<p></p><p></p>I am a very smart dog! I have shown my caregivers that I already know how to &quot;sit&quot;, &quot;stay&quot;and &quot;come&quot;. <p></p><p></p>I am an affectionate lovebug who would be thrilled to cuddle up with you at home!<p></p><p></p>My caregivers have noticed that I seem to do well with other large dogs. When meeting dogs in a new home, I would do best with a slow introduction.<p></p><p></p>I dont always appreciate babies and toddlers so I would do best in a home with older children. <p></p><p></p>A veterinarian has diagnosed or tentatively diagnosed the above-described pet with the following condition(s):<p></p><p></p>1)   Mast cell tumor on the left shoulder.  Thoracic radiographs and abdominal ultrasound have not shown any indication of metastatic disease, however it cannot be ruled out.  This tumor is not resectable.  Fiona is currently on Prednisone to control the tumor, and Diphenhydramine and Famotidine to control the side effects of the tumor.  She will need to have regular veterinary visists to monitor the tumor, bloodwork and her response to medications.   An educational handout and the complete oncology report is available.<p></p><p></p>2)   Splenomegaly<p></p><p></p>3)   Bilateral mammary adenomas.  Surgical removal on 10/26 and 11/11.  These tumors are benign and were completely removed.  Suture removal is needed 11/21/17.<p></p><p></p>As a result of these conditions, your pet may need specialized care consisting of any or all of the below.  Please note this is not intended to be an exhaustive list.<p></p><p></p>- Special diet or prescription foods<p></p>- Prescription or over-the-counter medicines<p></p>- Special skin care or shampoos<p></p>- Regular veterinarian visits, which may include blood tests or other monitoring<p></p>- Possible surgery or other procedures as determined by your veterinarian<p></p><p></p><p></p> Adoption Fee: $200.00<p></p>"
K18-106872,A552706,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552706,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ania,Cat,8 YEARS,Neutered Male,Domestic Longhair,White / Brown,02/27/2018 12:00:00 AM,Received on,26500 118TH WAY SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552706,Image Copyright HLP Inc. 2018,"26500 118TH WAY SE
KENT, WA 98030
","Received on: 2018-02-27<p></p> Found Near: 26500 118TH WAY SE, KENT WA 98030<p></p> Description: White / Brown Neutered Male Domestic Longhair Cat<p></p> Age: 8 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K18-106922,A552992,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A552992,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Cat,3 YEARS,Male,Domestic Longhair,Gray Tabby,03/03/2018 12:00:00 AM,Received on,13700 41ST AVE S,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A552992,Image Copyright HLP Inc. 2018,"13700 41ST AVE S
TUKWILA, WA 98168
","Received on: 2018-03-03<p></p> Found Near: 13700 41ST AVE S, TUKWILA WA 98168<p></p> Description: Gray Tabby Male Domestic Longhair Cat<p></p> Age: 3 YEARS<p></p> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p></p>"
K14-072684,A435579,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Lilly,Cat,11 YEARS 10 MONTHS,Spayed Female,Domestic Shorthair,Blue / White,04/26/2014 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,NEWCASTLE,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A435579,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2014-04-26<p></p> Description: Blue / White Spayed Female Domestic Shorthair Cat<p></p> Age: 11 YEARS 10 MONTHS<p></p> Current Location: In RASKC Foster Home <p></p>This cat has been temperment tested and staff has made the following recommmendations:<p></p><p></p><p></p>I need a quiet, calm home.<p></p><p></p><p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K18-106250,A550908,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Rey,Cat,12 WEEKS,Spayed Female,Domestic Shorthair,Black,01/24/2018 12:00:00 AM,Received on,21615 64TH AVE S,KENT,WA,98032,SEATAC,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A550908,Image Copyright HLP Inc. 2018,"21615 64TH AVE S
KENT, WA 98032
(47.407788, -122.255197)","Received on: 2018-01-24<p></p> Description: Black Spayed Female Domestic Shorthair Cat<p></p> Age: 12 WEEKS<p></p> Current Location: In RASKC Foster Home <p></p>Rey is spayed with immunizations and chipped. Her rescue number is A550908. Use that number for anything pertaining to her. When Rey came to us she was shy and afraid. We have had Rey and her siblings for three weeks now and she has become playful and curious. She is a regular kitten looking for a regular family to claim as her own. She is friendly, but it might take a day or two to get to know her new surroundings, if considering also taking another sibling I recommend Finn.  Like her Star Wars name sake, I can imagine you as the loving family she has been waiting for. <p></p>To meet her call the foster human Tracy at (206) 242-7659 for an appointment time.<p></p><p></p>Adoption Fee: An Adoption Fee has not been set. Please inquire with the shelter.<p></p>"
K18-106633,A551912,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A551912,"Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188",Pie,Cat,3 YEARS,Neutered Male,Domestic Shorthair,Brn Tabby,02/14/2018 12:00:00 AM,Received on,400 RAMSAY WAY,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A551912,Image Copyright HLP Inc. 2018,"400 RAMSAY WAY
KENT, WA 98032
","Received on: 2018-02-14<p></p> Found Near: 400 RAMSAY WAY, KENT WA 98032<p></p> Description: Brn Tabby Neutered Male Domestic Shorthair Cat<p></p> Age: 3 YEARS<p></p> Current Location: Tukwila Petco 17200 SOUTHCENTER PKWY 100 TUKWILA, WA 98188<p></p>"
